20,230,10
25,225,15,0
30,220,20,0
35,215,25,0
40,210,30,0
45,205,35,0
50,200,40,0
55,195,45,0
60,190,50,0
65,185,50,0
70,180,50,0
75,175,50,0
80,170,50,0
85,165,50,0
90,160,50,0
95,155,50,0
100,150,50,0
105,145,50,0
110,140,50,0
115,135,50,0
120,130,50,0
125,125,50,0
130,120,50,0
135,115,50,0
140,110,50,0
145,105,50,0
150,100,50,0
155,95,50,0
160,90,50,0
165,85,50,0
170,80,50,0
175,75,50,0
180,70,50,0
185,65,50,0
190,60,50,0
195,55,50,0
200,50,50,0
205,50,50,0
210,50,50,0
215,50,50,0
220,50,50,0
225,50,50,0
230,50,50,0
235,50,50,0
240,50,50,0
245,50,50,0
250,50,50,0
255,50,50,0
260,50,50,0
265,50,50,0
270,50,50,0
275,50,50,0
280,50,50,0
285,50,50,0
290,50,50,0
295,50,50,0
