30,220,20
35,215,25,-127
40,210,30,-115.12
45,205,35,-111.49
50,200,40,-108.05
55,195,45,-90.78
60,190,50,-78.21
65,185,50,-77.87
70,180,50,-93.79
75,175,50,-80.02
80,170,50,-81.18
85,165,45,-78.2
90,160,45,-70.81
95,155,45,-71.35
100,150,45,-71.82
105,145,50,-77.34
110,140,50,-83.63
115,135,45,-87.97
120,130,45,-96.13
125,125,50,-101.19
130,120,50,-100.23
135,115,50,-100.12
140,110,50,-99.22
145,105,50,-102.93
150,100,50,-109.62
155,95,50,-115.18
160,90,50,-115.47
165,85,50,-115.08
170,80,50,-116.33
175,75,50,-121.7
180,70,50,-125.23
185,65,50,-132.72
190,60,50,-140.66
195,55,50,-148.64
200,50,50,-155.92
205,50,50,-163.5
210,50,50,-162.63
215,50,50,-173.89
220,50,50,-172.22
225,50,50,-183.55
230,50,50,-183.83
235,50,50,-181.91
240,50,50,-185.32
245,50,50,-193.04
250,50,50,-195.59
255,50,50,-199.49
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
255,45,50,-202.37
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
255,45,50,-202.37
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
260,50,50,-203.64
